Listado de máquinas  excluídas CTT BAIRES A CF (I9801) CTT INTERIOR CF (I9803), Telefonogramas (I1492-I6900) y OPT (I0011-I0110);Region;provincia;Funcion equipo en STS;Server;Clie;Imp;Total de PC;Total de Impresoras;tipo server;Nombre del equipo;Direccion IP;Codigo STS;Observaciones
CDD 5 BAIRES CF;METRO_Z2;C;Serv;S;;;1;1;JP;C1405ZADu0001;10.30.92.170;I5926;
CDD 5 BAIRES CF;METRO_Z2;C;Imp;;;I;;;JP;;10.30.92.171;I5926;
CDD 5 CORDOBA CBA;03 CENTRO NEA;X;Serv;S;;;1;1;JP;I3158STM001;10.220.82.170;I3158;X5016ZAAW0001
CDD 5 CORDOBA CBA;03 CENTRO NEA;X;Imp;;;I;;;JP;;10.220.82.171;I3158;
CDD 5 LA PLATA BA;02 BUENOS AIRES;B;Serv;S;;;1;1;JP;I6257STM001;10.20.75.170;I6257;B1912zaaw0001
CDD 5 LA PLATA BA;02 BUENOS AIRES;B;Imp;;;I;;;JP;;10.20.75.171;I6257;
CDD 5 ROSARIO SF;03 CENTRO NEA;S;Serv;S;;;2;1;JP;I2871STM001;10.170.84.170;I2871;S2007ZABW0001
CDD 5 ROSARIO SF;03 CENTRO NEA;S;Imp;;;I;;;JP;;10.170.84.171;I2871;
CDD 6 BAIRES CF;METRO_Z2;C;Serv;S;;;1;1;JP;C1405ZABu0001;10.30.160.170;I1463;Mudanza a av. Nazca el 21/08/01
CDD 6 BAIRES CF;METRO_Z2;C;Imp;;;I;;;JP;;10.30.160.171;I1463;Mudanza a av. Nazca el 21/08/01
CDD 6 CORDOBA CBA;03 CENTRO NEA;X;Serv;S;;;1;1;JP;I3159STM001;10.220.67.170;I3159;X5011DBKW0001
CDD 6 CORDOBA CBA;03 CENTRO NEA;X;Imp;;;I;;;JP;;10.220.67.171;I3159;
CDD 7 BAIRES CF;METRO_Z3;C;Serv;S;;;1;1;JP;I1908STM001;10.30.99.170;I1908;C1407AUAW0001
CDD 7 BAIRES CF;METRO_Z3;C;Imp;;;I;;;JP; ;10.30.99.172;I1908;
CDD 7 CORDOBA CBA;03 CENTRO NEA;X;Serv;S;;;1;1;JP;I3160STM001;10.220.87.170;I3160;X5003DCIW0001
CDD 7 CORDOBA CBA;03 CENTRO NEA;X;Imp;;;I;;;JP;;10.220.87.171;I3160;
CDD 9 CORDOBA CBA;03 CENTRO NEA;X;Serv;S;;;1;1;JP;I3162STM001;10.220.89.170;I3162;X5022LJDW0001
CDD 9 CORDOBA CBA;03 CENTRO NEA;X;Imp;;;I;;;JP;;10.220.89.171;I3162;
CDD ALMIRANTE BROWN BA;METRO_Z8;B;Serv;S;;;1;1;JP;B1846ZAAu0001;10.245.220.170;I1124;mudanza a comercial mixta J Marmol 9-24 (com + cdd mismo sitio)
CDD ALMIRANTE BROWN BA;METRO_Z8;B;Imp;;;I;;;JP;;10.245.220.171;I1124;
CDD BERAZATEGUI BA;METRO_Z9;B;Serv;S;;;1;1;JP;B1880ZAAu0001;10.245.69.170;I1152;
CDD BERAZATEGUI BA;METRO_Z9;B;Imp;;;I;;;JP;;10.245.69.172;I1152;
CDD BERNAL BA;METRO_Z9;B;Serv;S;;;1;1;JP;B1876ZAAu0001;10.245.130.170;I5788;
CDD BERNAL BA;METRO_Z9;B;Imp;;;I;;;JP;;10.245.130.171;I5788;
CDD CAÑUELAS BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;B1814ZABU0001;10.26.18.170;I6372;
CDD CAÑUELAS BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.26.18.20;I6372;
CDD CASTELAR BA;17 METRO NOROESTE;B;Serv;1;;;1;;jp;I7079STM001;10.245.119.170;i7079;mixta (cdd + comercial) Castelar 09-24
CDD CASTELAR BA;17 METRO NOROESTE;B;Imp;;;1;;1;jp;;10.245.119.171;I7079;
CDD CATAMARCA C;04 CUYO NOA;K;Serv;S;;;1;1;JP;I5860STM001;10.100.66.172;I5860;K4700ZAHW0003
CDD CATAMARCA C;04 CUYO NOA;K;klie;;C;;1;1;JP;I5860STM002;10.100.66.30;I5860;devuelven I1967 Cat 1 Cdesde ctt mza se renombra cliente Cdd Cat a I1967stm001
CDD CATAMARCA C;04 CUYO NOA;K;Imp;;;I;;;JP;;10.100.66.174;I5860;
CDD CLAYPOLE BA;METRO_Z8;B;Serv;S;;;1;1;JP;I1130STM001;10.245.94.170;I1130;B1849DQOW0001
CDD CLAYPOLE BA;METRO_Z8;B;Imp;;;I;;;JP; ;10.245.94.171;I1130;
